জমি নং,মৌসুম,অঞ্চল,ফসল,লক্ষ্যমাত্রা ফলন (কেজি/শতাংশ),ইউরিয়া (গ্রাম/শতাংশ),টিএসপি/ডিএপি (গ্রাম/শতাংশ),এমওপি (গ্রাম/শতাংশ),জিপসাম (গ্রাম/শতাংশ),ম্যাগনেসিয়াম সালফেট (গ্রাম/শতাংশ),জিঙ্ক সালফেট (হেপ্টা হাইড্রেট) (গ্রাম/শতাংশ),বোরিক এসিড (গ্রাম/শতাংশ),জৈবসার (কেজি/শতাংশ)
৫,খরিফ-১,ঠাকুরগাঁও,রো. আউশ,২০,৬৩৩,৯৭,৪২৮,১২২,০,০,০,০
৫,খরিফ-১,পঞ্চগড়,রো. আউশ,২০,৬৩৩,৯৭,৪২৮,১২২,০,০,০,০
৫,খরিফ-১,দিনাজপুর উত্তর,রো. আউশ,২০,৬৩৩,৯৭,৪২৮,১২২,০,০,০,০
৫,খরিফ-১,দিনাজপুর পশ্চিম,রো. আউশ,২০,৬৩৩,৯৭,৪২৮,১২২,০,০,০,০
৫,খরিফ-২,ঠাকুরগাঁও,রো. আমন,২৪,৭৯১,১২১,৫২৫,১৬৩,০,১৭,০,০
৫,খরিফ-২,পঞ্চগড়,রো. আমন,২৪,৭৯১,১২১,৫২৫,১৬৩,০,১৭,০,০
৫,খরিফ-২,দিনাজপুর উত্তর,রো. আমন,২৪,৭৯১,১২১,৫২৫,১৬৩,০,১৭,০,০
৫,খরিফ-২,দিনাজপুর পশ্চিম,রো. আমন,২৪,৭৯১,১২১,৫২৫,১৬৩,০,১৭,০,০
৬,রবি,ঠাকুরগাঁও,গম ,১৬,১০৫৪,৪০৫,৭২৯,৩৪০,৩৪০,৫৮,৪৮,৮
৬,রবি,পঞ্চগড়,গম ,১৬,১০৫৪,৪০৫,৭২৯,৩৪০,৩৪০,৫৮,৪৮,৮
৬,রবি,দিনাজপুর উত্তর,গম ,১৬,১০৫৪,৪০৫,৭২৯,৩৪০,৩৪০,৫৮,৪৮,৮
৬,রবি,দিনাজপুর পশ্চিম,গম ,১৬,১০৫৪,৪০৫,৭২৯,৩৪০,৩৪০,৫৮,৪৮,৮
৬,খরিফ-১,ঠাকুরগাঁও,পাট,১৬,৯২২,১৪৬,৪৮৬,২৪৫,০,০,০,০
৬,খরিফ-১,পঞ্চগড়,পাট,১৬,৯২২,১৪৬,৪৮৬,২৪৫,০,০,০,০
৬,খরিফ-১,দিনাজপুর উত্তর,পাট,১৬,৯২২,১৪৬,৪৮৬,২৪৫,০,০,০,০
৬,খরিফ-১,দিনাজপুর পশ্চিম,পাট,১৬,৯২২,১৪৬,৪৮৬,২৪৫,০,০,০,০
৬,খরিফ-২,ঠাকুরগাঁও,রো. আমন,২৪,৭৯১,১২১,৫২৫,১৬৩,০,১৭,০,০
৬,খরিফ-২,পঞ্চগড়,রো. আমন,২৪,৭৯১,১২১,৫২৫,১৬৩,০,১৭,০,০
৬,খরিফ-২,দিনাজপুর উত্তর,রো. আমন,২৪,৭৯১,১২১,৫২৫,১৬৩,০,১৭,০,০
৬,খরিফ-২,দিনাজপুর পশ্চিম,রো. আমন,২৪,৭৯১,১২১,৫২৫,১৬৩,০,১৭,০,০
৭,রবি,ঠাকুরগাঁও,আলু,১২০,১১৮৬,৪০৫,১০৯৩,৩৪০,৪২৫,৫৮,৩৬,১২
৭,রবি,পঞ্চগড়,আলু,১২০,১১৮৬,৪০৫,১০৯৩,৩৪০,৪২৫,৫৮,৩৬,১২
৭,রবি,দিনাজপুর উত্তর,আলু,১২০,১১৮৬,৪০৫,১০৯৩,৩৪০,৪২৫,৫৮,৩৬,১২
৭,রবি,দিনাজপুর পশ্চিম,আলু,১২০,১১৮৬,৪০৫,১০৯৩,৩৪০,৪২৫,৫৮,৩৬,১২
৭,রবি,ঠাকুরগাঁও,বোরো,২৪,১২১২,১২১,৫০৫,২০৪,০,২৯,০,০
৭,রবি,পঞ্চগড়,বোরো,২৪,১২১২,১২১,৫০৫,২০৪,০,২৯,০,০
৭,রবি,দিনাজপুর উত্তর,বোরো,২৪,১২১২,১২১,৫০৫,২০৪,০,২৯,০,০
৭,রবি,দিনাজপুর পশ্চিম,বোরো,২৪,১২১২,১২১,৫০৫,২০৪,০,২৯,০,০
৭,খরিফ-১,ঠাকুরগাঁও,পতিত,০,০,০,০,০,০,০,০,০
৭,খরিফ-১,পঞ্চগড়,পতিত,০,০,০,০,০,০,০,০,০
৭,খরিফ-১,দিনাজপুর উত্তর,পতিত,০,০,০,০,০,০,০,০,০
৭,খরিফ-১,দিনাজপুর পশ্চিম,পতিত,০,০,০,০,০,০,০,০,০
৭,খরিফ-২,ঠাকুরগাঁও,রো. আমন,২৪,৭৯১,১২১,৪২৬,১৬৩,০,১৯,০,০
৭,খরিফ-২,পঞ্চগড়,রো. আমন,২৪,৭৯১,১২১,৪২৬,১৬৩,০,১৯,০,০
৭,খরিফ-২,দিনাজপুর উত্তর,রো. আমন,২৪,৭৯১,১২১,৪২৬,১৬৩,০,১৯,০,০
৭,খরিফ-২,দিনাজপুর পশ্চিম,রো. আমন,২৪,৭৯১,১২১,৪২৬,১৬৩,০,১৯,০,০
৮,রবি,ঠাকুরগাঁও,গম ,১৬,১০৫৪,৪০৫,৭২৯,৩৪০,৩৪০,৫৮,৪৮,৮
৮,রবি,পঞ্চগড়,গম ,১৬,১০৫৪,৪০৫,৭২৯,৩৪০,৩৪০,৫৮,৪৮,৮
৮,রবি,দিনাজপুর উত্তর,গম ,১৬,১০৫৪,৪০৫,৭২৯,৩৪০,৩৪০,৫৮,৪৮,৮
৮,রবি,দিনাজপুর পশ্চিম,গম ,১৬,১০৫৪,৪০৫,৭২৯,৩৪০,৩৪০,৫৮,৪৮,৮
৮,খরিফ-১,ঠাকুরগাঁও,ভুট্টা,২৮,১৪৭৬,৩০৬,৬১২,৩৪৩,৪২৫,৩৯,০,০
৮,খরিফ-১,পঞ্চগড়,ভুট্টা,২৮,১৪৭৬,৩০৬,৬১২,৩৪৩,৪২৫,৩৯,০,০
৮,খরিফ-১,দিনাজপুর উত্তর,ভুট্টা,২৮,১৪৭৬,৩০৬,৬১২,৩৪৩,৪২৫,৩৯,০,০
৮,খরিফ-১,দিনাজপুর পশ্চিম,ভুট্টা,২৮,১৪৭৬,৩০৬,৬১২,৩৪৩,৪২৫,৩৯,০,০
৮,খরিফ-২,ঠাকুরগাঁও,রো. আমন,২৪,৭৯১,১২১,৫২৫,১৬৩,০,১৯,০,০
৮,খরিফ-২,পঞ্চগড়,রো. আমন,২৪,৭৯১,১২১,৫২৫,১৬৩,০,১৯,০,০
৮,খরিফ-২,দিনাজপুর উত্তর,রো. আমন,২৪,৭৯১,১২১,৫২৫,১৬৩,০,১৯,০,০
৮,খরিফ-২,দিনাজপুর পশ্চিম,রো. আমন,২৪,৭৯১,১২১,৫২৫,১৬৩,০,১৯,০,০
৯,রবি,ঠাকুরগাঁও,মরিচ,১০,৬৫৯,৪৮৬,৭২৯,২৭২,০,৩৯,২৪,১২
৯,রবি,পঞ্চগড়,মরিচ,১০,৬৫৯,৪৮৬,৭২৯,২৭২,০,৩৯,২৪,১২
৯,রবি,দিনাজপুর উত্তর,মরিচ,১০,৬৫৯,৪৮৬,৭২৯,২৭২,০,৩৯,২৪,১২
৯,রবি,দিনাজপুর পশ্চিম,মরিচ,১০,৬৫৯,৪৮৬,৭২৯,২৭২,০,৩৯,২৪,১২
৯,খরিফ-১,ঠাকুরগাঁও,পতিত,০,০,০,০,০,০,০,০,০
৯,খরিফ-১,পঞ্চগড়,পতিত,০,০,০,০,০,০,০,০,০
৯,খরিফ-১,দিনাজপুর উত্তর,পতিত,০,০,০,০,০,০,০,০,০
৯,খরিফ-১,দিনাজপুর পশ্চিম,পতিত,০,০,০,০,০,০,০,০,০
৯,খরিফ-২,ঠাকুরগাঁও,রো. আমন,২৪,৭৯১,১২১,৫২৫,১৬৩,০,১৯,০,০
৯,খরিফ-২,পঞ্চগড়,রো. আমন,২৪,৭৯১,১২১,৫২৫,১৬৩,০,১৯,০,০
৯,খরিফ-২,দিনাজপুর উত্তর,রো. আমন,২৪,৭৯১,১২১,৫২৫,১৬৩,০,১৯,০,০
৯,খরিফ-২,দিনাজপুর পশ্চিম,রো. আমন,২৪,৭৯১,১২১,৫২৫,১৬৩,০,১৯,০,০
১০,রবি,ঠাকুরগাঁও,বাদাম,১০,৩১৬,৪০৫,৪৮৬,৬৮০,০,৫৮,২৪,০
১০,রবি,পঞ্চগড়,বাদাম,১০,৩১৬,৪০৫,৪৮৬,৬৮০,০,৫৮,২৪,০
১০,রবি,দিনাজপুর উত্তর,বাদাম,১০,৩১৬,৪০৫,৪৮৬,৬৮০,০,৫৮,২৪,০
১০,রবি,দিনাজপুর পশ্চিম,বাদাম,১০,৩১৬,৪০৫,৪৮৬,৬৮০,০,৫৮,২৪,০
১০,খরিফ-১,ঠাকুরগাঁও,পতিত,০,০,০,০,০,০,০,০,০
১০,খরিফ-১,পঞ্চগড়,পতিত,০,০,০,০,০,০,০,০,০
১০,খরিফ-১,দিনাজপুর উত্তর,পতিত,০,০,০,০,০,০,০,০,০
১০,খরিফ-১,দিনাজপুর পশ্চিম,পতিত,০,০,০,০,০,০,০,০,০
১০,খরিফ-২,ঠাকুরগাঁও,রো. আমন,২৪,৭৯১,১২১,৫২৫,১৬৩,০,১৯,০,০
১০,খরিফ-২,পঞ্চগড়,রো. আমন,২৪,৭৯১,১২১,৫২৫,১৬৩,০,১৯,০,০
১০,খরিফ-২,দিনাজপুর উত্তর,রো. আমন,২৪,৭৯১,১২১,৫২৫,১৬৩,০,১৯,০,০
১০,খরিফ-২,দিনাজপুর পশ্চিম,রো. আমন,২৪,৭৯১,১২১,৫২৫,১৬৩,০,১৯,০,০
১১,রবি,ঠাকুরগাঁও,গম ,১৬,১০৫৪,৪০৫,৭২৯,৩৪০,৩৪০,৫৮,৪৮,৮
১১,রবি,পঞ্চগড়,গম ,১৬,১০৫৪,৪০৫,৭২৯,৩৪০,৩৪০,৫৮,৪৮,৮
১১,রবি,দিনাজপুর উত্তর,গম ,১৬,১০৫৪,৪০৫,৭২৯,৩৪০,৩৪০,৫৮,৪৮,৮
১১,রবি,দিনাজপুর পশ্চিম,গম ,১৬,১০৫৪,৪০৫,৭২৯,৩৪০,৩৪০,৫৮,৪৮,৮
১১,খরিফ-১,ঠাকুরগাঁও,মুগকালাই,৮,১৫৮,১২১,১৫৫,১৬৩,০,০,০,০
১১,খরিফ-১,পঞ্চগড়,মুগকালাই,৮,১৫৮,১২১,১৫৫,১৬৩,০,০,০,০
১১,খরিফ-১,দিনাজপুর উত্তর,মুগকালাই,৮,১৫৮,১২১,১৫৫,১৬৩,০,০,০,০
১১,খরিফ-১,দিনাজপুর পশ্চিম,মুগকালাই,৮,১৫৮,১২১,১৫৫,১৬৩,০,০,০,০
১১,খরিফ-২,ঠাকুরগাঁও,রো. আমন,২৪,৭৯১,১২১,৫২৫,১৬৩,০,১৯,০,০
১১,খরিফ-২,পঞ্চগড়,রো. আমন,২৪,৭৯১,১২১,৫২৫,১৬৩,০,১৯,০,০
১১,খরিফ-২,দিনাজপুর উত্তর,রো. আমন,২৪,৭৯১,১২১,৫২৫,১৬৩,০,১৯,০,০
১১,খরিফ-২,দিনাজপুর পশ্চিম,রো. আমন,২৪,৭৯১,১২১,৫২৫,১৬৩,০,১৯,০,০
১২,রবি,ঠাকুরগাঁও,আলু,১২০,১১৮৬,৪০৫,১০৯৩,৩৪০,৪২৫,৫৮,৩৬,১২
১২,রবি,পঞ্চগড়,আলু,১২০,১১৮৬,৪০৫,১০৯৩,৩৪০,৪২৫,৫৮,৩৬,১২
১২,রবি,দিনাজপুর উত্তর,আলু,১২০,১১৮৬,৪০৫,১০৯৩,৩৪০,৪২৫,৫৮,৩৬,১২
১২,রবি,দিনাজপুর পশ্চিম,আলু,১২০,১১৮৬,৪০৫,১০৯৩,৩৪০,৪২৫,৫৮,৩৬,১২
১২,খরিফ-১,ঠাকুরগাঁও,রো. আউশ,২০,৬৩৩,৯৭,৩৪৭,১২২,০,০,০,০
১২,খরিফ-১,পঞ্চগড়,রো. আউশ,২০,৬৩৩,৯৭,৩৪৭,১২২,০,০,০,০
১২,খরিফ-১,দিনাজপুর উত্তর,রো. আউশ,২০,৬৩৩,৯৭,৩৪৭,১২২,০,০,০,০
১২,খরিফ-১,দিনাজপুর পশ্চিম,রো. আউশ,২০,৬৩৩,৯৭,৩৪৭,১২২,০,০,০,০
১২,খরিফ-২,ঠাকুরগাঁও,রো. আমন,২৪,৭৯১,১২১,৪২৬,১৬৩,০,১৯,০,০
১২,খরিফ-২,পঞ্চগড়,রো. আমন,২৪,৭৯১,১২১,৪২৬,১৬৩,০,১৯,০,০
১২,খরিফ-২,দিনাজপুর উত্তর,রো. আমন,২৪,৭৯১,১২১,৪২৬,১৬৩,০,১৯,০,০
১২,খরিফ-২,দিনাজপুর পশ্চিম,রো. আমন,২৪,৭৯১,১২১,৪২৬,১৬৩,০,১৯,০,০
১৩,বছর ব্যাপী,ঠাকুরগাঁও,আখ এবং মসুর,৪০০ এবং ৭.২,১৫৮১,৮৯১,১৪৫৭,৬৮০,০,৯৬,৭১,১২
১৩,বছর ব্যাপী,পঞ্চগড়,আখ এবং মসুর,৪০০ এবং ৭.২,১৫৮১,৮৯১,১৪৫৭,৬৮০,০,৯৬,৭১,১২
১৩,বছর ব্যাপী,দিনাজপুর উত্তর,আখ এবং মসুর,৪০০ এবং ৭.২,১৫৮১,৮৯১,১৪৫৭,৬৮০,০,৯৬,৭১,১২
১৩,বছর ব্যাপী,দিনাজপুর পশ্চিম,আখ এবং মসুর,৪০০ এবং ৭.২,১৫৮১,৮৯১,১৪৫৭,৬৮০,০,৯৬,৭১,১২
১৪,রবি,ঠাকুরগাঁও,মুলা,২৪০,৯৭৫,৬০৭,৭২৯,৪০৮,০,৩৯,২৪,২০
১৪,রবি,পঞ্চগড়,মুলা,২৪০,৯৭৫,৬০৭,৭২৯,৪০৮,০,৩৯,২৪,২০
১৪,রবি,দিনাজপুর উত্তর,মুলা,২৪০,৯৭৫,৬০৭,৭২৯,৪০৮,০,৩৯,২৪,২০
১৪,রবি,দিনাজপুর পশ্চিম,মুলা,২৪০,৯৭৫,৬০৭,৭২৯,৪০৮,০,৩৯,২৪,২০
১৪,রবি,ঠাকুরগাঁও,বাঁধাকপি,৩৬০,১৩১৮,৬০৭,৪৮৬,৩৪০,৩৪০,৩৯,৩৬,২০
১৪,রবি,পঞ্চগড়,বাঁধাকপি,৩৬০,১৩১৮,৬০৭,৪৮৬,৩৪০,৩৪০,৩৯,৩৬,২০
১৪,রবি,দিনাজপুর উত্তর,বাঁধাকপি,৩৬০,১৩১৮,৬০৭,৪৮৬,৩৪০,৩৪০,৩৯,৩৬,২০
১৪,রবি,দিনাজপুর পশ্চিম,বাঁধাকপি,৩৬০,১৩১৮,৬০৭,৪৮৬,৩৪০,৩৪০,৩৯,৩৬,২০
১৪,রবি,ঠাকুরগাঁও,ফুলকপি,২৪০,১০৫৪,৬০৭,৬৪৮,৪০৮,৩৪০,৩৯,৩৬,২০
১৪,রবি,পঞ্চগড়,ফুলকপি,২৪০,১০৫৪,৬০৭,৬৪৮,৪০৮,৩৪০,৩৯,৩৬,২০
১৪,রবি,দিনাজপুর উত্তর,ফুলকপি,২৪০,১০৫৪,৬০৭,৬৪৮,৪০৮,৩৪০,৩৯,৩৬,২০
১৪,রবি,দিনাজপুর পশ্চিম,ফুলকপি,২৪০,১০৫৪,৬০৭,৬৪৮,৪০৮,৩৪০,৩৯,৩৬,২০
১৪,রবি,ঠাকুরগাঁও,টমেটো,৩০০,৭৯১,৪৪৫,৬০৭,৪৭৬,০,৩৯,৪৮,২০
১৪,রবি,পঞ্চগড়,টমেটো,৩০০,৭৯১,৪৪৫,৬০৭,৪৭৬,০,৩৯,৪৮,২০
১৪,রবি,দিনাজপুর উত্তর,টমেটো,৩০০,৭৯১,৪৪৫,৬০৭,৪৭৬,০,৩৯,৪৮,২০
১৪,রবি,দিনাজপুর পশ্চিম,টমেটো,৩০০,৭৯১,৪৪৫,৬০৭,৪৭৬,০,৩৯,৪৮,২০
১৪,রবি,ঠাকুরগাঁও,বেগুন,২০০,১১৮৬,৬০৭,৯৭২,৩৪০,৫১০,৩৯,৪৮,২৮
১৪,রবি,পঞ্চগড়,বেগুন,২০০,১১৮৬,৬০৭,৯৭২,৩৪০,৫১০,৩৯,৪৮,২৮
১৪,রবি,দিনাজপুর উত্তর,বেগুন,২০০,১১৮৬,৬০৭,৯৭২,৩৪০,৫১০,৩৯,৪৮,২৮
১৪,রবি,দিনাজপুর পশ্চিম,বেগুন,২০০,১১৮৬,৬০৭,৯৭২,৩৪০,৫১০,৩৯,৪৮,২৮
১৪,খরিফ-১,ঠাকুরগাঁও,ঢেঁড়শ,১০০,৭৯১,২৬৩,৩৬৮,২০৪,০,৩৯,০,২০
১৪,খরিফ-১,পঞ্চগড়,ঢেঁড়শ,১০০,৭৯১,২৬৩,৩৬৮,২০৪,০,৩৯,০,২০
১৪,খরিফ-১,দিনাজপুর উত্তর,ঢেঁড়শ,১০০,৭৯১,২৬৩,৩৬৮,২০৪,০,৩৯,০,২০
১৪,খরিফ-১,দিনাজপুর পশ্চিম,ঢেঁড়শ,১০০,৭৯১,২৬৩,৩৬৮,২০৪,০,৩৯,০,২০
১৪,খরিফ-১,ঠাকুরগাঁও,পুঁইশাক,১২০,৭৯১,২৬৩,২১১,২০৪,০,৩৯,০,২০
১৪,খরিফ-১,পঞ্চগড়,পুঁইশাক,১২০,৭৯১,২৬৩,২১১,২০৪,০,৩৯,০,২০
১৪,খরিফ-১,দিনাজপুর উত্তর,পুঁইশাক,১২০,৭৯১,২৬৩,২১১,২০৪,০,৩৯,০,২০
১৪,খরিফ-১,দিনাজপুর পশ্চিম,পুঁইশাক,১২০,৭৯১,২৬৩,২১১,২০৪,০,৩৯,০,২০
১৪,খরিফ-১,ঠাকুরগাঁও,চালকুমড়া,২৪০,৮৭৯,৩২৯,৩১৬,২৭২,৪২৫,৩৯,০,২০
১৪,খরিফ-১,পঞ্চগড়,চালকুমড়া,২৪০,৮৭৯,৩২৯,৩১৬,২৭২,৪২৫,৩৯,০,২০
১৪,খরিফ-১,দিনাজপুর উত্তর,চালকুমড়া,২৪০,৮৭৯,৩২৯,৩১৬,২৭২,৪২৫,৩৯,০,২০
১৪,খরিফ-১,দিনাজপুর পশ্চিম,চালকুমড়া,২৪০,৮৭৯,৩২৯,৩১৬,২৭২,৪২৫,৩৯,০,২০
১৪,খরিফ-১,ঠাকুরগাঁও,ডাটাশাক,১২০,৫২৭,১৯৭,১৮৯,১৬৩,০,৩৯,০,২০
১৪,খরিফ-১,পঞ্চগড়,ডাটাশাক,১২০,৫২৭,১৯৭,১৮৯,১৬৩,০,৩৯,০,২০
১৪,খরিফ-১,দিনাজপুর উত্তর,ডাটাশাক,১২০,৫২৭,১৯৭,১৮৯,১৬৩,০,৩৯,০,২০
১৪,খরিফ-১,দিনাজপুর পশ্চিম,ডাটাশাক,১২০,৫২৭,১৯৭,১৮৯,১৬৩,০,৩৯,০,২০
১৪,খরিফ-২,ঠাকুরগাঁও,বেগুন,২০০,১১৮৬,৩৯৫,৬৩২,২০৪,৫১০,৩৯,২৪,২০
১৪,খরিফ-২,পঞ্চগড়,বেগুন,২০০,১১৮৬,৩৯৫,৬৩২,২০৪,৫১০,৩৯,২৪,২০
১৪,খরিফ-২,দিনাজপুর উত্তর,বেগুন,২০০,১১৮৬,৩৯৫,৬৩২,২০৪,৫১০,৩৯,২৪,২০
১৪,খরিফ-২,দিনাজপুর পশ্চিম,বেগুন,২০০,১১৮৬,৩৯৫,৬৩২,২০৪,৫১০,৩৯,২৪,২০
১৪,খরিফ-২,ঠাকুরগাঁও,লাউ,২৪০,৮৭৯,৩২৯,৩১৬,২৭২,৪২৫,৩৯,২৪,২০
